2023-10-02 / 08:29:58	9ed6820e-8779-46db-93b6-4b19e59b9a3c	/ 	 GET
2023-10-02 / 08:29:58	290b3bb1-efc3-4fa1-bfe5-8bc1b2f7a3d1	/css/style.css 	 GET
2023-10-02 / 08:30:20	90b653a8-46c4-4b12-ab31-ad6cac3d3c6b	/feq 	 GET
2023-10-02 / 08:30:20	b6411ab3-8106-4e3b-b57c-f6368d3fcc8d	/css/style.css 	 GET
2023-10-02 / 08:31:07	f2befb4f-2901-4807-9ea2-50cc1aeb474f	/ 	 GET
2023-10-02 / 08:32:09	31ff6383-0fe1-4d77-bfed-33cad4df17ab	/new-page 	 GET
2023-10-02 / 08:32:09	94edf440-ebbe-46bd-b4ae-1dda7d9e38f6	/css/style.css 	 GET
2023-10-02 / 08:32:09	4ee29ffa-3cc2-401d-af25-93a7941caa44	/img/img1.jpg 	 GET
2023-10-03 / 06:18:38	bd6f6f55-c2e1-4e39-bab2-6f12b5701b0f	GET	https://www.google.co.kr	/
2023-10-03 / 06:18:57	9f9c5052-629d-4d08-bd77-c1c246b98990	OPTIONS	https://www.google.co.kr	/
2023-10-03 / 06:18:57	7407b48e-456f-449f-9317-3ed867b1968c	GET	https://www.google.co.kr	/
2023-10-03 / 06:45:14	ff1455b4-7629-4100-8452-468a44a68d38	GET	undefined	/
2023-10-03 / 06:45:14	1cecb958-56f5-4999-a44c-e2bfc2440851	GET	undefined	/css/style.css
2023-10-03 / 06:45:14	797876b3-aaab-4c8a-8493-de19eb4ac0b4	GET	undefined	/favicon.ico
2023-10-03 / 06:45:37	26997534-90c6-4943-ac21-30344b664907	GET	undefined	/
2023-10-03 / 06:45:37	a722cded-53b2-4619-9b21-9a1286999bb3	GET	undefined	/css/style.css
2023-10-03 / 06:50:16	88f00eab-11a9-4b59-8212-b82a7b4572ea	GET	undefined	/
2023-10-03 / 06:50:16	885b88bc-a178-4d04-b008-f6f3e82f38c2	GET	undefined	/css/style.css
2023-10-03 / 06:50:16	d5951165-23ba-4bab-b5b9-b2653d7fe2b1	GET	undefined	/favicon.ico
2023-10-03 / 06:52:48	7956594a-4744-42d1-b17b-7c15d33ec8b4	GET	undefined	/
2023-10-03 / 06:52:48	0616ea01-380e-4273-81fa-6278276978e4	GET	undefined	/css/style.css
2023-10-03 / 06:53:36	cab8e6a9-4042-45f9-a2aa-fcf5cab613ed	OPTIONS	https://grap3fruit.dev	/
2023-10-03 / 06:53:36	753dedca-2aee-424e-b7f3-50d82ce66c73	GET	https://grap3fruit.dev	/
2023-10-03 / 06:53:42	488d95b1-8688-4465-99d5-8d5dd296a650	OPTIONS	https://grap3fruit.dev	/
2023-10-03 / 06:53:42	8c1d4090-0875-4ba0-9c36-59c2123017f7	GET	https://grap3fruit.dev	/
2023-10-03 / 06:54:31	165d2641-8426-470f-aa5a-9a9bd0a13baa	OPTIONS	https://grap3fruit.dev	/
2023-10-03 / 06:54:31	8a207922-ad18-4ee8-9350-ebafac42302a	GET	https://grap3fruit.dev	/
2023-10-03 / 07:00:37	4ab22f83-008f-4795-9af3-fb8806c0b05d	GET	undefined	/
2023-10-03 / 07:00:37	837bbdbf-2139-4ae0-a8d3-314e8f732c4f	GET	undefined	/css/style.css
2023-10-03 / 07:00:43	eedaa8e7-c965-472d-95a6-a4bed8927ec7	GET	undefined	/
2023-10-03 / 07:00:53	1e0a9596-176d-44bf-93db-3240d9fae444	GET	undefined	/
2023-10-03 / 07:01:01	5024b443-124b-46f0-b7f0-15e992e20dec	GET	undefined	/
2023-10-03 / 07:01:01	d6bbc05a-4d8e-4cd4-ba62-06299b77b4a6	GET	undefined	/css/style.css
2023-10-03 / 07:01:11	9d610dcd-0ffa-460c-8291-6a3673cbe1a5	GET	undefined	/css/style.css
2023-10-03 / 07:01:39	f7870eaa-c303-4ea8-be22-d7df715fe88b	OPTIONS	https://www.google.co.kr	/
2023-10-03 / 07:01:39	9af8ed7e-d49b-40bd-a652-7709819bbda5	GET	https://www.google.co.kr	/
2023-10-03 / 07:02:03	6b5abc88-2a26-4b9b-a5b2-6b1cd96334f2	OPTIONS	https://www.google.co.kr	/
2023-10-03 / 07:02:03	95478a4b-397a-40f0-95e3-73f685728ced	GET	https://www.google.co.kr	/
2023-10-03 / 07:02:13	81f12161-3bec-4aad-9e25-8fefffa87a03	OPTIONS	https://www.google.co.kr	/
2023-10-03 / 07:02:13	938df93b-ccb5-4b1e-94c8-fb3f207153a4	GET	https://www.google.co.kr	/
2023-10-03 / 07:02:36	58c7d868-e985-4800-a9f4-edcf0ece7699	OPTIONS	https://www.google.co.kr	/
2023-10-03 / 07:02:36	c167491c-4984-453e-b97d-dedd448d5c0e	GET	https://www.google.co.kr	/
2023-10-03 / 07:04:20	f1dfe89d-0bb2-4402-b392-d0db12557e31	OPTIONS	https://www.google.co.kr	/
2023-10-03 / 07:04:20	69d6af16-2a63-4b41-9fb1-ea31c33f7302	GET	https://www.google.co.kr	/
2023-10-03 / 07:07:34	04d1f8e1-a5b0-4cde-a7f1-ceafe5addf29	OPTIONS	https://www.google.co.kr	/
2023-10-03 / 07:07:34	5a4c2af3-9008-467c-ab12-b6099769116a	GET	https://www.google.co.kr	/
2023-10-03 / 07:08:13	fbf5ef0e-b34f-4f29-9588-03fb7f6540c3	GET	undefined	/
2023-10-03 / 07:08:13	79c58fe5-70f6-491b-8a36-25458508839f	GET	undefined	/css/style.css
2023-10-03 / 07:08:24	3cb34f60-008d-4857-83d6-10d8a07a3bb8	OPTIONS	https://www.google.co.kr	/
2023-10-03 / 07:08:24	bf87e32e-df82-4704-8c5a-77a889398f0d	GET	https://www.google.co.kr	/
2023-10-03 / 07:16:08	f0b7ff3d-ceff-409c-8d22-b5a1eb0ded6c	GET	undefined	/
2023-10-03 / 07:17:58	339f5bc3-6f16-49de-a9be-e0723a339a88	GET	undefined	/
2023-10-03 / 07:18:06	dc8578ca-a0e7-4e03-ba1b-d0a3f1d7e82d	GET	undefined	/
2023-10-03 / 07:18:50	beea09e0-9691-413f-88d0-e17bf983a7cf	GET	undefined	/
2023-10-03 / 07:19:06	13c57de0-7c74-4a8a-9912-6d21ddcae163	GET	undefined	/
2023-10-03 / 07:19:18	ae6044c9-9e5f-4eb0-9a20-ed68aa2180d5	GET	undefined	/
2023-10-03 / 07:20:04	23195201-95b0-46ac-8873-bffb8e2d672d	GET	undefined	/
2023-10-03 / 07:20:41	62d8a477-2e8e-4daf-acb3-bc84ccefb73d	GET	undefined	/
2023-10-03 / 07:21:13	f314a8d3-63e6-4031-a195-738755bc9b8e	GET	undefined	/
2023-10-03 / 07:21:17	e2709e9f-d272-4cbb-a58a-1eaf52f596c1	GET	undefined	/
2023-10-03 / 07:21:34	3246ba03-e6d7-4562-b9e6-555dff926d7d	GET	undefined	/
2023-10-03 / 07:21:34	35e86c4e-48ed-4d02-b3f7-b14680f64c3a	GET	undefined	/favicon.ico
2023-10-03 / 07:24:06	f1424d23-9deb-45e6-8cae-aeef22b94eaa	GET	undefined	/dave
2023-10-03 | 07:24:54	57519db4-1aec-4397-b681-0c6c180fce22	GET	undefined	/dave
2023-10-03 | 07:24:59	c7f1c7d5-2e91-4d0c-b840-67d26ea4736f	GET	undefined	/dave
2023-10-03 | 07:26:18	8e271e37-7dc3-4274-a16a-861564e074b5	GET	undefined	/dave
2023-10-03 | 07:30:39	3797026e-071a-4e3c-b0e0-1047f47bc8f5	GET	undefined	/dave
2023-10-03 | 07:30:39	4156e3fe-2bda-44ba-982a-e98326a2a7dc	GET	undefined	/favicon.ico
2023-10-03 | 07:30:53	aa82d689-43e4-4990-bfb3-bdb749885f4c	GET	undefined	/dave
2023-10-03 | 07:30:53	56e53c29-5ee6-456c-9c88-d155cf0948c3	GET	undefined	/css/style.css
2023-10-03 | 07:30:53	83e2af3d-d7c2-4985-bfc6-b28a1585eac6	GET	undefined	/favicon.ico
2023-10-04 | 01:33:51	b0521ef0-ab44-4c30-b608-a660f84e18b5	GET	undefined	/
2023-10-04 | 01:33:52	3d83557d-1dbf-4fcb-a15a-d6b14d81bdf0	GET	undefined	/css/style.css
2023-10-04 | 01:33:52	e519f69e-3754-4b09-92ed-bb4dc13fdd57	GET	undefined	/favicon.ico
2023-10-04 | 01:33:57	a8ca92e9-a18b-4fe2-affb-80ea6d5b1fc3	GET	undefined	/subdir
2023-10-04 | 01:34:01	34b080b9-52d0-4daf-bb90-42755cdc7bfb	GET	undefined	/subdir/index
2023-10-04 | 01:34:03	50616171-0ab4-4c64-8d5b-e107d1398342	GET	undefined	/subdir/index.html
2023-10-04 | 01:34:17	7f44f566-3ea7-4125-a746-f92b5918fcc9	GET	undefined	/subdir
2023-10-04 | 01:34:17	455cab13-0f92-4d25-9572-1e804bc382fb	GET	undefined	/css/style.css
2023-10-04 | 01:34:19	b087985a-d997-4bd3-9634-ab7aec41cc82	GET	undefined	/subdir/
2023-10-04 | 01:34:19	8b0f00b8-620b-4bbb-b44d-e28879d09844	GET	undefined	/subdir/css/style.css
2023-10-04 | 01:34:22	23db25ec-2e59-416d-a69e-f463031e1c61	GET	undefined	/subdir/index
2023-10-04 | 01:34:28	d2298cf8-4420-4699-88fd-31e0df4e6596	GET	undefined	/subdir/test
2023-10-04 | 01:34:40	3b6f9bdf-5c6b-43e7-81a7-4878f6c2f890	GET	undefined	/subdir/test/dave
2023-10-04 | 01:34:40	d9df86df-572f-4a9b-9aaf-29de40221e47	GET	undefined	/subdir/test/css/style.css
2023-10-04 | 01:34:46	8ae898dc-2116-4689-bd27-69ee8b705266	GET	undefined	/subdir/test/css/style.css
2023-10-04 | 01:34:49	56a2ad2a-40d4-43fc-8b7e-a384a405f5e5	GET	undefined	/subdir/test/dave
2023-10-04 | 01:34:49	7b757da6-4476-4bc3-a847-88eaec453f85	GET	undefined	/subdir/test/css/style.css
2023-10-04 | 01:36:18	79f00a2d-cc4c-47ac-9729-739a8d04d293	GET	undefined	/subdir/test/dave
2023-10-04 | 01:36:18	ee038b36-d16f-44f4-9922-c235453f2fc9	GET	undefined	/subdir/test/css/style.css
2023-10-04 | 01:36:28	6fc4ac71-0298-477d-b683-4c962dafadf7	GET	undefined	/
2023-10-04 | 01:36:29	5e6eef78-10cc-4d3b-8968-378321337f63	GET	undefined	/css/style.css
2023-10-04 | 01:36:32	c3d86264-dae7-4640-95a1-ba825b4d63f5	GET	undefined	/subdir
2023-10-04 | 01:36:32	7faae3a9-c508-485e-a294-dd9a6650eac2	GET	undefined	/subdir/
2023-10-04 | 01:36:34	9172c573-556d-4e93-9f0e-b3b318d10a7b	GET	undefined	/subdir/dw
2023-10-04 | 01:36:34	6b9f742a-c447-4154-8f56-c59468398365	GET	undefined	/subdir/css/style.css
2023-10-04 | 01:36:41	f4d1d42a-bc2d-4d08-b630-fbf9b46cb79c	GET	undefined	/subdir/dw
2023-10-04 | 01:36:41	ba2a5b8e-428f-49fa-ac32-b86b0e52292c	GET	undefined	/subdir/css/style.css
2023-10-04 | 01:36:45	e0f06107-4cc5-4fe8-bb84-0f7b7d231ce3	GET	undefined	/subdir/dw
2023-10-04 | 01:36:45	663b6ee7-d2dd-4b19-8821-48ceac568ba8	GET	undefined	/subdir/css/style.css
2023-10-04 | 01:56:42	e27c28cf-d2c0-48f4-9d55-f649ce219f60	GET	undefined	/
2023-10-04 | 01:56:43	ef490e5d-9a18-4545-889d-53fee97463c6	GET	undefined	/
2023-10-04 | 01:57:22	7019af52-81c3-4b2a-9bbc-c4cc471decc7	GET	undefined	/
2023-10-04 | 01:58:08	eb626fe4-d583-4710-af4f-7dd4dac245ca	GET	undefined	/
2023-10-04 | 01:58:09	0b074f36-9938-4d25-b588-a28ae8081405	GET	undefined	/css/style.css
2023-10-04 | 02:04:42	10dcd78f-30a5-4dd7-b2f6-d0b6d4d8d5c0	GET	undefined	/new-page
2023-10-04 | 02:04:42	ba72596c-1583-4fe1-9c0e-4a0dc164b3e7	GET	undefined	/img/img1.jpg
2023-10-04 | 02:04:42	406ee17c-e6b3-4416-a606-36e657e5a65d	GET	undefined	/css/style.css
2023-10-04 | 02:04:54	a57afb72-fae1-4fad-9cbe-aad0ac2177ce	GET	undefined	/old-page
2023-10-04 | 02:04:54	9be14b55-8ebb-472e-ad20-7a129e5432bf	GET	undefined	/views/new-page.html
2023-10-04 | 02:04:54	060a6474-2e9f-4fbd-84e4-1c5ae33c799a	GET	undefined	/views/css/style.css
2023-10-04 | 02:05:07	faa2a22b-7444-44ad-a7ad-201c9ba336ca	GET	undefined	/views/new-page.html
2023-10-04 | 02:05:07	dd802c37-9da9-4002-84e3-c126c1804d78	GET	undefined	/views/new-page.html
2023-10-04 | 02:05:07	44e9ebcb-f799-4790-bb05-9137ec850e7e	GET	undefined	/views/css/style.css
2023-10-04 | 02:07:09	cc1f2be0-385d-4c2d-81f2-f8daeaca5c48	GET	undefined	/views/new-page.html
2023-10-04 | 02:07:10	e35865cd-8a87-4e7e-b61d-0d10148cc316	GET	undefined	/views/new-page.html
2023-10-04 | 02:07:10	82774e96-8033-4cf4-89df-91a81b119f3f	GET	undefined	/views/css/style.css
2023-10-04 | 02:07:15	f8935190-d14c-4144-bbac-96471831c4cf	GET	undefined	/
2023-10-04 | 02:07:15	f12f904c-6b57-4b26-8d40-b03f76aed7d5	GET	undefined	/css/style.css
2023-10-04 | 02:07:17	35fd594e-9107-48eb-b006-8d43bb6af803	GET	undefined	/views/new-page.html
2023-10-04 | 02:07:20	11824c1e-2960-4506-875e-9b8dcdf3da4b	GET	undefined	/views/new-page.html
2023-10-04 | 02:07:20	06577c5d-3494-4ad7-ae3d-b286ea4d9396	GET	undefined	/views/css/style.css
2023-10-04 | 02:07:23	1ed56ca1-d4d0-4004-b0f1-fa6cd0e69aa6	GET	undefined	/views/css/style.css
2023-10-04 | 02:07:50	f64bb992-41a0-4a0d-9727-a11ce18c7ab5	GET	undefined	/new-page
2023-10-04 | 02:07:50	382fa05c-7163-4477-98a5-627a312092e1	GET	undefined	/css/style.css
2023-10-04 | 02:07:50	83881b0c-3202-4ce2-b588-72f77ccd8cc2	GET	undefined	/img/img1.jpg
2023-10-04 | 02:08:10	d7c80eaf-8a1e-4f24-9303-d8cec3db452b	GET	undefined	/old-page
2023-10-04 | 02:08:10	9d4f1492-22c9-431c-ad4e-004ffed62de1	GET	undefined	/new-page.html
2023-10-04 | 02:08:10	60066e2f-0fb4-4ebb-ad04-cad5d61ba826	GET	undefined	/css/style.css
2023-10-04 | 02:08:10	ff4652f9-2687-4820-ac7f-5de789215bb1	GET	undefined	/img/img1.jpg
2023-10-04 | 02:13:30	c4b38813-9953-481f-aaae-437f6fdffa2f	GET	undefined	/
2023-10-04 | 02:13:30	189ce68e-6431-40c1-ac8b-1c26db42e873	GET	undefined	/css/style.css
2023-10-04 | 02:13:30	af3d6d65-bced-405d-8a89-0459a8bc6b8d	GET	undefined	/
2023-10-04 | 02:13:30	4a7c554d-ed8f-4e1c-8cc7-2910bd241f65	GET	undefined	/css/style.css
2023-10-04 | 02:13:33	7ea8f88e-99bc-4ec8-9236-bd5a35758aac	GET	undefined	/index
2023-10-04 | 02:13:33	82a48333-6ab3-4db2-bfd1-4bc6b8feb694	GET	undefined	/css/style.css
2023-10-04 | 02:13:36	275cf622-3f20-4519-a569-ff6111a4440e	GET	undefined	/new-page
2023-10-04 | 02:13:36	fc210a54-9c86-4b32-b33d-dc09032855a8	GET	undefined	/css/style.css
2023-10-04 | 02:13:36	987f172e-6bcf-4932-be5a-e8e2e660fbd1	GET	undefined	/img/img1.jpg
2023-10-04 | 02:13:39	439639a8-6771-4294-9172-a4dab562ba12	GET	undefined	/old-page
2023-10-04 | 02:13:39	d065cc15-59d9-4930-96e2-0a0d789e462d	GET	undefined	/new-page.html
2023-10-04 | 02:13:39	abba2bae-6105-45e5-a7b2-759526834eba	GET	undefined	/css/style.css
2023-10-04 | 02:13:39	be6a6ef9-ec70-4595-91ae-b6c041a5e9f9	GET	undefined	/img/img1.jpg
2023-10-04 | 02:13:52	e59a7dc5-b366-429e-b5d8-4457d6cf63b3	GET	undefined	/subdir
2023-10-04 | 02:13:52	9c1365ed-4594-46e3-b8fe-3dc6c165a66d	GET	undefined	/subdir/
2023-10-04 | 02:14:12	3edb996f-1ba3-4242-85e0-f2398ca6803c	GET	undefined	/subdir/
2023-10-04 | 02:14:15	a1b18286-178c-4983-af50-7af44adbf963	GET	undefined	/subdir/test
2023-10-04 | 02:45:53	10de89e1-b803-4358-8b07-4a4ed2a02a3d	GET	undefined	/employees
2023-10-04 | 02:47:42	e8575795-76f8-45a1-ac71-2ab430f16583	POST	undefined	/employees
2023-10-04 | 02:47:54	a9306222-c575-4239-b58b-85f05ee3b912	POST	undefined	/employees
2023-10-04 | 02:48:12	97dbc434-3d61-4852-879b-090ff65469e5	POST	undefined	/employees
2023-10-04 | 02:49:36	f8083b2a-b59d-46cb-b32d-e4bf26348429	PUT	undefined	/employees
2023-10-04 | 02:50:01	b473e7e3-bc9d-4193-8e6a-8e99b42b6dd4	PUT	undefined	/employees
2023-10-04 | 02:50:25	43dc7f7a-8faa-4bc6-b475-d4acc280fdbc	PUT	undefined	/employees
2023-10-04 | 02:50:39	7385af59-4b80-47f7-967e-c499f150d905	PUT	undefined	/employees
2023-10-04 | 02:51:05	4160cefe-d0ea-4874-a28b-e3f945e46327	DELETE	undefined	/employees
2023-10-04 | 03:25:56	ba8abf4e-37ca-4ed8-ba9f-9152b8716b21	GET	undefined	/
2023-10-04 | 03:25:56	d8a5c1cc-48d6-42aa-b6cb-c6934715a27d	GET	undefined	/css/style.css
2023-10-04 | 03:25:56	d0483d56-ccfd-4d03-ab66-f26f58e7f296	GET	undefined	/favicon.ico
2023-10-04 | 03:25:59	ab43913b-a694-4e4c-8ba9-c3a775cae862	GET	undefined	/234
2023-10-04 | 03:25:59	e7c76664-b7d5-424f-804c-d87f32457acc	GET	undefined	/favicon.ico
2023-10-04 | 03:26:20	8f8f2bef-b243-42a1-85f3-4245eb4ff5e0	GET	undefined	/234
2023-10-04 | 03:26:20	0c88cf5f-5c02-454c-9b8d-359217f44b77	GET	undefined	/css/style.css
2023-10-04 | 03:26:20	3c78da46-1ea7-456c-a70d-8c4a69b2f1f9	GET	undefined	/favicon.ico
2023-10-04 | 03:26:24	5deafe2d-6877-4dfa-86b8-8047832d376a	GET	undefined	/313
2023-10-04 | 03:26:24	2ac4f1b9-85be-4edc-9968-84d16b505e7a	GET	undefined	/css/style.css
2023-10-04 | 03:26:26	513b7c10-360b-481b-a4ed-1ffdc9fc9d0e	GET	undefined	/
2023-10-04 | 03:26:26	d785a323-a05b-4cee-af5b-a13392cf68fe	GET	undefined	/css/style.css
2023-10-04 | 04:02:36	072f2113-a191-4fcb-bf84-f98eab97833b	GET	undefined	/employees/1
2023-10-04 | 04:02:42	3c14b12f-129b-43f9-bf88-010f3d6e6724	GET	undefined	/employees/1
2023-10-04 | 04:06:07	54d3d655-6f90-4ea3-9ad2-fb587bf3d957	GET	undefined	/
2023-10-04 | 04:06:07	a27f1b01-a46f-4bdd-ae1f-ec3be2563fd2	GET	undefined	/css/style.css
2023-10-04 | 04:06:47	46640972-64bb-43d3-bee3-366dd9e445ea	GET	undefined	/
2023-10-04 | 04:06:47	8279cdb0-6303-4b7f-b2c1-45adc11a2e8d	GET	undefined	/css/style.css
2023-10-04 | 04:06:55	4915a4f3-e904-4f89-8ab7-5e4994cb29a7	GET	undefined	/employees/1
2023-10-04 | 04:07:02	73f105bf-efd3-4acc-91a2-4d34fe12192a	GET	undefined	/employees/1
2023-10-04 | 04:07:09	2124ebe4-5f7d-4cc5-b8e6-f23bd5d05505	GET	undefined	/employee/2
2023-10-04 | 04:08:38	aa142dc9-ee65-40fa-a10f-41686bb6093f	GET	undefined	/employee/2
2023-10-04 | 04:08:38	8917746d-bc1e-46d4-8a0d-73fddd1966a6	GET	undefined	/employee/css/style.css
2023-10-04 | 04:08:41	7e701b62-7a24-4a15-b965-37ffa2f49b7b	GET	undefined	/employee/css/style.css
2023-10-04 | 04:08:53	8e7e002b-a4ee-4f62-a10c-73c25fe04224	GET	undefined	/employee/2
2023-10-04 | 04:08:53	75b053bb-cd6b-4312-8b68-22045dea3ace	GET	undefined	/employee/2
2023-10-04 | 04:09:33	888c6681-72cd-4828-a305-a5e024e15369	GET	undefined	/employee
2023-10-04 | 04:09:52	0da9f42d-dc8f-4d2e-838f-c20d509da959	GET	undefined	/employee
2023-10-04 | 04:14:08	527b92ff-8582-4dbd-80c3-2d03af2dd0f3	GET	undefined	/employee
2023-10-04 | 04:14:27	f8f20b02-0f87-450d-8182-5ca2d1d1e418	GET	undefined	/
2023-10-04 | 04:14:27	468806c8-d878-4a92-b776-662b80fcec6f	GET	undefined	/css/style.css
2023-10-04 | 04:14:28	8f36c98b-286b-4a7b-9fee-35407a84650b	GET	undefined	/favicon.ico
2023-10-04 | 04:14:31	a1e89a24-09a3-4e01-ba80-392d9033714e	GET	undefined	/subdir/
2023-10-04 | 04:14:31	ac0ba84d-6477-4601-b331-e892a0d5eab0	GET	undefined	/subdir/css/style.css
2023-10-04 | 04:14:33	15ae2fdb-1cab-4073-9161-561dec339a11	GET	undefined	/subdir/index
2023-10-04 | 04:14:33	82cfe7de-156a-4c23-a5e4-dbe6cfe4dd60	GET	undefined	/css/style.css
2023-10-04 | 04:14:35	77bdbda0-cffa-4144-ae60-12359656faaf	GET	undefined	/subdir/
2023-10-04 | 04:14:36	2d69bcd8-6ac9-46c9-a025-b07dc61e2457	GET	undefined	/
2023-10-04 | 04:14:36	d565615c-685b-4b00-9961-cbfc1b2de376	GET	undefined	/css/style.css
2023-10-04 | 04:15:49	4c0b860d-3f10-49c1-bd3f-0dbe703dcc4e	GET	undefined	/router
2023-10-04 | 04:15:49	bfb14b49-d2c3-4132-87e3-172096d82c51	GET	undefined	/css/style.css
2023-10-04 | 04:16:36	861f826c-866d-4445-bcac-e6ce34ba03f9	GET	undefined	/employee
2023-10-04 | 04:23:19	c957e537-6be2-4e69-9d97-bca553ff259b	GET	undefined	/employee
2023-10-04 | 04:23:22	f088058b-2356-428d-9358-973a7d856a00	GET	undefined	/employees
2023-10-04 | 04:25:25	5bb816ca-2f99-40db-9697-0df0b1a5a3c0	GET	undefined	/employees
2023-10-04 | 04:25:25	036a260b-20a1-4b39-bfbd-6997894e1612	GET	undefined	/employees
2023-10-04 | 04:25:32	4306fc36-b8ad-4267-b20c-2fa902ba9d55	GET	undefined	/employees/1
2023-10-04 | 04:26:45	b71b63a9-b078-4fb0-b2a5-6bae0c406357	GET	undefined	/employees/1
2023-10-04 | 04:27:46	7e0186b3-6995-425e-b302-7ed2001fa626	GET	undefined	/employees/1
